city,date,percentage
Barcelona,2020-09-30,50
Barcelona,2020-10-01,51
Barcelona,2020-10-02,47
Barcelona,2020-10-03,47
Barcelona,2020-10-04,43
Barcelona,2020-10-05,55
Barcelona,2020-10-06,53
Barcelona,2020-10-07,52
Barcelona,2020-10-08,48
Barcelona,2020-10-09,48
Barcelona,2020-10-10,39
Barcelona,2020-10-11,42
Barcelona,2020-10-12,40
Barcelona,2020-10-13,47
Barcelona,2020-10-14,47
Barcelona,2020-10-15,45
Barcelona,2020-10-16,37
Barcelona,2020-10-17,36
Barcelona,2020-10-18,34
Barcelona,2020-10-19,41
Barcelona,2020-10-20,38
Barcelona,2020-10-21,38
Barcelona,2020-10-22,35
Barcelona,2020-10-23,39
Barcelona,2020-10-24,36
Barcelona,2020-10-25,33
Barcelona,2020-10-26,37
Barcelona,2020-10-27,35
Barcelona,2020-10-28,34
Barcelona,2020-10-29,34
Barcelona,2020-10-30,26
Barcelona,2020-10-31,24
Barcelona,2020-11-01,25
Barcelona,2020-11-02,34
Barcelona,2020-11-03,31
Barcelona,2020-11-04,30
Barcelona,2020-11-05,28
Barcelona,2020-11-06,25
Barcelona,2020-11-07,20
Barcelona,2020-11-08,26
Barcelona,2020-11-09,35
Barcelona,2020-11-10,32
Barcelona,2020-11-11,32
Barcelona,2020-11-12,28
Barcelona,2020-11-13,28
Barcelona,2020-11-14,27
Barcelona,2020-11-15,26
Barcelona,2020-11-16,34
Barcelona,2020-11-17,31
Barcelona,2020-11-18,32
Barcelona,2020-11-19,30
Barcelona,2020-11-20,28
Barcelona,2020-11-21,27
Barcelona,2020-11-22,25
Barcelona,2020-11-23,36
Barcelona,2020-11-24,34
Barcelona,2020-11-25,35
Barcelona,2020-11-26,32
Barcelona,2020-11-27,32
Barcelona,2020-11-28,28
Barcelona,2020-11-29,30
Barcelona,2020-11-30,37
Barcelona,2020-12-01,36
Barcelona,2020-12-02,38
Barcelona,2020-12-03,35
Barcelona,2020-12-04,32
Barcelona,2020-12-05,32
Barcelona,2020-12-06,28
Barcelona,2020-12-07,39
Barcelona,2020-12-08,28
Barcelona,2020-12-09,35
Barcelona,2020-12-10,34
Barcelona,2020-12-11,32
Barcelona,2020-12-12,32
Barcelona,2020-12-13,28
Barcelona,2020-12-14,40
Barcelona,2020-12-15,38
Barcelona,2020-12-16,38
Barcelona,2020-12-17,36
Barcelona,2020-12-18,36
Barcelona,2020-12-19,32
Barcelona,2020-12-20,30
Barcelona,2020-12-21,39
Barcelona,2020-12-22,36
Barcelona,2020-12-23,33
Barcelona,2020-12-24,22
Barcelona,2020-12-25,12
Barcelona,2020-12-26,15
Barcelona,2020-12-27,21
Barcelona,2020-12-28,28
Barcelona,2020-12-29,28
Barcelona,2020-12-30,28
Barcelona,2020-12-31,23
Barcelona,2021-01-01,12
Barcelona,2021-01-02,21
Barcelona,2021-01-03,25
Barcelona,2021-01-04,31
Barcelona,2021-01-05,28
Barcelona,2021-01-06,20
Barcelona,2021-01-07,26
Barcelona,2021-01-08,25
Barcelona,2021-01-09,19
Barcelona,2021-01-10,20
Barcelona,2021-01-11,34
Barcelona,2021-01-12,32
Barcelona,2021-01-13,32
Berlin,2020-03-02,103
Berlin,2020-03-03,94
Berlin,2020-03-04,93
Berlin,2020-03-05,92
Berlin,2020-03-06,92
Berlin,2020-03-07,92
Berlin,2020-03-08,97
Berlin,2020-03-09,94
Berlin,2020-03-10,83
Berlin,2020-03-11,86
Berlin,2020-03-12,72
Berlin,2020-03-13,60
Berlin,2020-03-14,54
Berlin,2020-03-15,45
Berlin,2020-03-16,41
Berlin,2020-03-17,28
Berlin,2020-03-18,26
Berlin,2020-03-19,18
Berlin,2020-03-20,13
Berlin,2020-03-21,12
Berlin,2020-03-22,11
Berlin,2020-03-23,13
Berlin,2020-03-24,12
Berlin,2020-03-25,12
Berlin,2020-03-26,11
Berlin,2020-03-27,10
Berlin,2020-03-28,10
Berlin,2020-03-29,8
Berlin,2020-03-30,12
Berlin,2020-03-31,12
Berlin,2020-04-01,12
Berlin,2020-04-02,11
Berlin,2020-04-03,10
Berlin,2020-04-04,10
Berlin,2020-04-05,11
Berlin,2020-04-06,14
Berlin,2020-04-07,12
Berlin,2020-04-08,14
Berlin,2020-04-09,13
Berlin,2020-04-10,10
Berlin,2020-04-11,11
Berlin,2020-04-12,14
Berlin,2020-04-13,9
Berlin,2020-04-14,12
Berlin,2020-04-15,13
Berlin,2020-04-16,13
Berlin,2020-04-17,13
Berlin,2020-04-18,13
Berlin,2020-04-19,14
Berlin,2020-04-20,15
Berlin,2020-04-21,15
Berlin,2020-04-22,16
Berlin,2020-04-23,17
Berlin,2020-04-24,14
Berlin,2020-04-25,15
Berlin,2020-04-26,15
Berlin,2020-04-27,17
Berlin,2020-04-28,17
Berlin,2020-04-29,18
Berlin,2020-04-30,17
Berlin,2020-05-01,14
Berlin,2020-05-02,14
Berlin,2020-05-03,16
Berlin,2020-05-04,19
Berlin,2020-05-05,20
Berlin,2020-05-06,22
Berlin,2020-05-07,22
Berlin,2020-05-08,20
Berlin,2020-05-09,24
Berlin,2020-05-10,19
Berlin,2020-05-11,21
Berlin,2020-05-12,23
Berlin,2020-05-13,23
Berlin,2020-05-14,22
Berlin,2020-05-15,22
Berlin,2020-05-16,24
Berlin,2020-05-17,24
Berlin,2020-05-18,25
Berlin,2020-05-19,27
Berlin,2020-05-20,31
Berlin,2020-05-21,30
Berlin,2020-05-22,25
Berlin,2020-05-23,25
Berlin,2020-05-24,21
Berlin,2020-05-25,26
Berlin,2020-05-26,30
Berlin,2020-05-27,32
Berlin,2020-05-28,28
Berlin,2020-05-29,28
Berlin,2020-05-30,31
Berlin,2020-05-31,32
Berlin,2020-06-01,36
Berlin,2020-06-02,34
Berlin,2020-06-03,34
Berlin,2020-06-04,31
Berlin,2020-06-05,31
Berlin,2020-06-06,36
Berlin,2020-06-07,28
Berlin,2020-06-08,34
Berlin,2020-06-09,37
Berlin,2020-06-10,39
Berlin,2020-06-11,37
Berlin,2020-06-12,37
Berlin,2020-06-13,34
Berlin,2020-06-14,37
Berlin,2020-06-15,39
Berlin,2020-06-16,41
Berlin,2020-06-17,43
Berlin,2020-06-18,38
Berlin,2020-06-19,35
Berlin,2020-06-20,35
Berlin,2020-06-21,35
Berlin,2020-06-22,39
Berlin,2020-06-23,43
Berlin,2020-06-24,45
Berlin,2020-06-25,47
Berlin,2020-06-26,41
Berlin,2020-06-27,46
Berlin,2020-06-28,37
Berlin,2020-06-29,44
Berlin,2020-06-30,46
Berlin,2020-07-01,48
Berlin,2020-07-02,48
Berlin,2020-07-03,45
Berlin,2020-07-04,45
Berlin,2020-07-05,41
Berlin,2020-07-06,43
Berlin,2020-07-07,48
Berlin,2020-07-08,49
Berlin,2020-07-09,48
Berlin,2020-07-10,46
Berlin,2020-07-11,49
Berlin,2020-07-12,47
Berlin,2020-07-13,52
Berlin,2020-07-14,55
Berlin,2020-07-15,52
Berlin,2020-07-16,52
Berlin,2020-07-17,48
Berlin,2020-07-18,54
Berlin,2020-07-19,52
Berlin,2020-07-20,51
Berlin,2020-07-21,52
Berlin,2020-07-22,55
Berlin,2020-07-23,54
Berlin,2020-07-24,50
Berlin,2020-07-25,52
Berlin,2020-07-26,47
Berlin,2020-07-27,55
Berlin,2020-07-28,59
Berlin,2020-07-29,57
Berlin,2020-07-30,54
Berlin,2020-07-31,54
Berlin,2020-08-01,57
Berlin,2020-08-02,48
Berlin,2020-08-03,56
Berlin,2020-08-04,61
Berlin,2020-08-05,65
Berlin,2020-08-06,63
Berlin,2020-08-07,59
Berlin,2020-08-08,60
Berlin,2020-08-09,57
Berlin,2020-08-10,62
Berlin,2020-08-11,65
Berlin,2020-08-12,66
Berlin,2020-08-13,62
Berlin,2020-08-14,55
Berlin,2020-08-15,56
Berlin,2020-08-16,60
Berlin,2020-08-17,63
Berlin,2020-08-18,63
Berlin,2020-08-19,66
Berlin,2020-08-20,65
Berlin,2020-08-21,64
Berlin,2020-08-22,54
Berlin,2020-08-23,59
Berlin,2020-08-24,59
Berlin,2020-08-25,62
Berlin,2020-08-26,63
Berlin,2020-08-27,60
Berlin,2020-08-28,55
Berlin,2020-08-29,55
Berlin,2020-08-30,53
Berlin,2020-08-31,62
Berlin,2020-09-01,62
Berlin,2020-09-02,63
Berlin,2020-09-03,63
Berlin,2020-09-04,59
Berlin,2020-09-05,59
Berlin,2020-09-06,60
Berlin,2020-09-07,59
Berlin,2020-09-08,60
Berlin,2020-09-09,64
Berlin,2020-09-10,67
Berlin,2020-09-11,63
Berlin,2020-09-12,66
Berlin,2020-09-13,66
Berlin,2020-09-14,65
Berlin,2020-09-15,65
Berlin,2020-09-16,73
Berlin,2020-09-17,65
Berlin,2020-09-18,63
Berlin,2020-09-19,62
Berlin,2020-09-20,60
Berlin,2020-09-21,62
Berlin,2020-09-22,63
Berlin,2020-09-23,64
Berlin,2020-09-24,60
Berlin,2020-09-25,59
Berlin,2020-09-26,56
Berlin,2020-09-27,52
Berlin,2020-09-28,63
Berlin,2020-09-29,65
Berlin,2020-09-30,64
Berlin,2020-10-01,62
Berlin,2020-10-02,59
Berlin,2020-10-03,59
Berlin,2020-10-04,57
Berlin,2020-10-05,66
Berlin,2020-10-06,63
Berlin,2020-10-07,65
Berlin,2020-10-08,65
Berlin,2020-10-09,56
Berlin,2020-10-10,56
Berlin,2020-10-11,52
Berlin,2020-10-12,56
Berlin,2020-10-13,60
Berlin,2020-10-14,60
Berlin,2020-10-15,56
Berlin,2020-10-16,53
Berlin,2020-10-17,55
Berlin,2020-10-18,49
Berlin,2020-10-19,51
Berlin,2020-10-20,52
Berlin,2020-10-21,56
Berlin,2020-10-22,53
Berlin,2020-10-23,50
Berlin,2020-10-24,53
Berlin,2020-10-25,54
Berlin,2020-10-26,53
Berlin,2020-10-27,51
Berlin,2020-10-28,52
Berlin,2020-10-29,52
Berlin,2020-10-30,50
Berlin,2020-10-31,52
Berlin,2020-11-01,48
Berlin,2020-11-02,42
Berlin,2020-11-03,40
Berlin,2020-11-04,40
Berlin,2020-11-05,38
Berlin,2020-11-06,34
Berlin,2020-11-07,38
Berlin,2020-11-08,37
Berlin,2020-11-09,34
Berlin,2020-11-10,35
Berlin,2020-11-11,37
Berlin,2020-11-12,36
Berlin,2020-11-13,33
Berlin,2020-11-14,36
Berlin,2020-11-15,36
Berlin,2020-11-16,36
Berlin,2020-11-17,34
Berlin,2020-11-18,38
Berlin,2020-11-19,34
Berlin,2020-11-20,32
Berlin,2020-11-21,34
Berlin,2020-11-22,28
Berlin,2020-11-23,34
Berlin,2020-11-24,35
Berlin,2020-11-25,35
Berlin,2020-11-26,33
Berlin,2020-11-27,31
Berlin,2020-11-28,33
Berlin,2020-11-29,31
Berlin,2020-11-30,35
Berlin,2020-12-01,37
Berlin,2020-12-02,36
Berlin,2020-12-03,34
Berlin,2020-12-04,32
Berlin,2020-12-05,36
Berlin,2020-12-06,31
Berlin,2020-12-07,33
Berlin,2020-12-08,35
Berlin,2020-12-09,34
Berlin,2020-12-10,33
Berlin,2020-12-11,31
Berlin,2020-12-12,32
Berlin,2020-12-13,28
Berlin,2020-12-14,37
Berlin,2020-12-15,39
Berlin,2020-12-16,28
Berlin,2020-12-17,27
Berlin,2020-12-18,24
